condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
jabberwocky-only,active,8,15000,-0.10613737445274989,0.5711791964908337,-7.436901685239872,-7.330764310787122,1.0,1.0
jabberwocky-only,active,9,15000,-0.30693564425905545,0.7647754042717944,-7.792556983109315,-7.48562133885026,1.0,1.0
jabberwocky-only,active,10,15000,-0.4575920190791289,0.9314266248450355,-6.640399570027987,-6.1828075509488585,1.0,1.0
jabberwocky-only,active,11,15000,-0.20652044273614883,0.7219025932888259,-5.744332863358657,-5.537812420622508,1.0,1.0
jabberwocky-only,active,12,14999,0.0016496515663888204,0.4028100502149856,-6.172089601695216,-6.173739253261605,1.0,1.0
jabberwocky-only,active,13,14958,0.018741927328698213,0.39837260847662176,-6.603425410281912,-6.622167337610611,1.0,1.0
jabberwocky-only,active,14,14525,-0.007842267996883229,0.45645743122311533,-6.393387284147555,-6.3855450161506715,1.0,1.0
jabberwocky-only,active,15,12541,-0.04453207070263234,0.5308230697924171,-5.337677418772146,-5.293145348069514,1.0,1.0
jabberwocky-only,active,16,7146,-0.06376633586884879,0.5852233725743243,-4.5215640105963955,-4.457797674727547,1.0,1.0
jabberwocky-only,active,17,2052,-0.07653811629171725,0.5733903542473217,-4.139705997984311,-4.0631678816925945,1.0,1.0
jabberwocky-only,active,18,250,-0.06834599924087524,0.5341102658197892,-3.797658188343048,-3.7293121891021728,1.0,1.0
jabberwocky-only,active,19,13,0.17304770763103777,0.5449391176892133,-3.5478791090158315,-3.720926816646869,1.0,1.0
jabberwocky-only,passive,0,15000,0.9035015546957652,1.070085215328747,-5.162529318475723,-6.0660308731714885,0.0,0.0
jabberwocky-only,passive,1,15000,0.13009293495814006,0.5128074338056801,-5.800688195959727,-5.930781130917867,0.9011333333333333,0.0
jabberwocky-only,passive,2,15000,-0.02320298883592089,0.5399301436258197,-7.076978431928406,-7.053775443092485,0.9947333333333334,0.0
jabberwocky-only,passive,3,15000,-0.018431171692411104,0.5813020622651779,-7.2641935317387185,-7.2457623600463075,0.9988,0.0
jabberwocky-only,passive,4,15000,0.012521062208215396,0.6231759411171703,-7.469417193641266,-7.481938255849481,1.0,0.030533333333333332
jabberwocky-only,passive,5,15000,0.26655366626381877,0.6797279770395152,-5.520563925592104,-5.787117591855924,1.0,0.6148666666666667
jabberwocky-only,passive,6,15000,0.19312735909223558,0.6432976713138122,-6.325275329472621,-6.518402688564857,1.0,0.9684
jabberwocky-only,passive,7,15000,0.01243274646004041,0.5414420280129216,-6.939162057377895,-6.951594803837935,1.0,1.0
jabberwocky-only,passive,8,15000,0.07150191394189993,0.5586461854142057,-7.406051466916998,-7.4775533808588985,1.0,1.0
jabberwocky-only,passive,9,15000,0.3512601835081975,0.7620162713978712,-7.256886730166773,-7.608146913674971,1.0,1.0
jabberwocky-only,passive,10,15000,0.8616723222871622,0.9177970819855289,-6.45111781574289,-7.312790138030052,1.0,1.0
jabberwocky-only,passive,11,15000,1.0876828633636235,0.9956248830398687,-3.6463165976752836,-4.733999461038907,1.0,1.0
jabberwocky-only,passive,12,15000,0.47653654707074167,0.923184063359317,-2.9595862529893715,-3.4361228000601134,1.0,1.0
jabberwocky-only,passive,13,15000,0.1575886244162917,0.48125156023388527,-4.567250666438043,-4.724839290854335,1.0,1.0
jabberwocky-only,passive,14,14999,0.10399313841450492,0.4159790365370438,-6.077409763601718,-6.181402902016223,1.0,1.0
jabberwocky-only,passive,15,14958,0.09624217962964458,0.46528351609152424,-6.586127068165519,-6.6823692477951635,1.0,1.0
jabberwocky-only,passive,16,14508,0.1503024880599969,0.545375918395672,-6.188277592139407,-6.338580080199404,1.0,1.0
jabberwocky-only,passive,17,12355,0.3458069801698422,0.6387923495865472,-4.677386257517367,-5.023193237687209,1.0,1.0
jabberwocky-only,passive,18,6869,0.5228509894428616,0.661443999219696,-3.4394638546083427,-3.962314844051204,1.0,1.0
jabberwocky-only,passive,19,1871,0.6152039332895722,0.60372658723969,-2.8763981584334104,-3.491602091722983,1.0,1.0
jabberwocky-only,passive,20,212,0.6974340247095756,0.5670540435798636,-2.447352539537088,-3.1447865642466635,1.0,1.0
jabberwocky-only,passive,21,7,0.5574534961155483,0.7968538898189558,-2.398723295756749,-2.956176791872297,1.0,1.0
