s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-45.1875,-46.40625,-14.359375,-14.65625,-32.15625,-35.875,-13.15625,-13.484375,1.21875,3.71875,0.296875,0.328125
-44.28125,-46.53125,-9.0234375,-8.703125,-24.875,-26.265625,-4.4375,-5.83203125,2.25,1.390625,-0.3203125,1.39453125
-38.3125,-41.28125,-13.1328125,-13.03125,-31.5,-32.6875,-11.90625,-11.7890625,2.96875,1.1875,-0.1015625,-0.1171875
-35.9375,-34.84375,-11.015625,-10.1171875,-18.234375,-21.171875,-4.52734375,-5.1484375,-1.09375,2.9375,-0.8984375,0.62109375
-39.5,-42.4375,-12.328125,-12.109375,-24.65625,-25.375,-10.1875,-10.5,2.9375,0.71875,-0.21875,0.3125
-41.28125,-46.5,-13.640625,-12.140625,-27.734375,-30.5625,-9.796875,-9.8515625,5.21875,2.828125,-1.5,0.0546875
-38.0625,-38.5625,-9.9921875,-9.953125,-26.9375,-25.546875,-8.7578125,-7.84375,0.5,-1.390625,-0.0390625,-0.9140625
-37.5625,-42.84375,-9.6953125,-9.40625,-28.5,-25.890625,-10.265625,-9.734375,5.28125,-2.609375,-0.2890625,-0.53125
-42.25,-41.28125,-12.9765625,-12.421875,-28.5625,-28.859375,-8.296875,-8.9765625,-0.96875,0.296875,-0.5546875,0.6796875
-45.125,-45.0,-14.8984375,-15.453125,-33.125,-34.28125,-11.859375,-12.4921875,-0.125,1.15625,0.5546875,0.6328125
-42.1875,-43.625,-10.2109375,-9.890625,-31.796875,-31.9375,-7.09765625,-7.859375,1.4375,0.140625,-0.3203125,0.76171875
-38.25,-40.15625,-11.7890625,-11.8515625,-31.21875,-33.03125,-12.0,-12.0390625,1.90625,1.8125,0.0625,0.0390625
-39.90625,-40.5625,-10.78125,-10.8046875,-26.84375,-26.59375,-10.0859375,-9.40625,0.65625,-0.25,0.0234375,-0.6796875
-39.59375,-43.25,-9.640625,-8.3828125,-21.59375,-23.421875,-3.15625,-4.69140625,3.65625,1.828125,-1.2578125,1.53515625
-39.25,-40.625,-13.0546875,-12.84375,-29.71875,-32.53125,-7.8984375,-9.28125,1.375,2.8125,-0.2109375,1.3828125
-35.59375,-38.3125,-11.125,-11.25,-25.75,-25.46875,-10.28125,-9.21875,2.71875,-0.28125,0.125,-1.0625
-42.875,-44.1875,-12.0078125,-11.546875,-27.9375,-28.8125,-7.3046875,-8.234375,1.3125,0.875,-0.4609375,0.9296875
-42.5,-45.9375,-14.5625,-14.8515625,-38.6875,-39.09375,-14.640625,-14.4453125,3.4375,0.40625,0.2890625,-0.1953125
-40.5,-43.53125,-13.4453125,-14.2265625,-34.0,-32.9375,-10.484375,-10.625,3.03125,-1.0625,0.78125,0.140625
-41.75,-41.59375,-14.8046875,-14.265625,-27.6875,-33.3125,-11.6953125,-11.0546875,-0.15625,5.625,-0.5390625,-0.640625
-45.09375,-46.03125,-12.40625,-13.8828125,-30.828125,-30.640625,-10.7109375,-10.3359375,0.9375,-0.1875,1.4765625,-0.375
-39.875,-42.8125,-12.359375,-12.328125,-29.78125,-29.671875,-12.6484375,-12.09375,2.9375,-0.109375,-0.03125,-0.5546875
-32.96875,-35.0,-7.9296875,-7.75390625,-24.546875,-27.46875,-6.77734375,-5.9609375,2.03125,2.921875,-0.17578125,-0.81640625
-38.90625,-37.34375,-13.1328125,-13.0859375,-37.15625,-37.6875,-11.1640625,-11.3984375,-1.5625,0.53125,-0.046875,0.234375
-34.0625,-35.21875,-7.8828125,-7.63671875,-22.53125,-23.234375,-5.09765625,-5.58203125,1.15625,0.703125,-0.24609375,0.484375
-42.6875,-47.0625,-13.703125,-13.0078125,-32.4375,-32.0,-10.2265625,-9.484375,4.375,-0.4375,-0.6953125,-0.7421875
-44.375,-43.8125,-15.28125,-14.140625,-28.359375,-31.046875,-8.3359375,-8.9609375,-0.5625,2.6875,-1.140625,0.625
-34.46875,-39.84375,-9.7734375,-9.8671875,-31.65625,-29.78125,-7.3515625,-6.9140625,5.375,-1.875,0.09375,-0.4375
-40.59375,-40.78125,-10.953125,-11.2421875,-19.28125,-19.890625,-2.140625,-1.5986328125,0.1875,0.609375,0.2890625,-0.5419921875
-39.75,-41.90625,-10.09375,-9.6484375,-28.5625,-29.125,-9.9375,-10.6484375,2.15625,0.5625,-0.4453125,0.7109375
-39.71875,-40.8125,-9.8203125,-9.4765625,-29.203125,-32.53125,-9.6171875,-9.34375,1.09375,3.328125,-0.34375,-0.2734375
-36.0,-36.0,-11.734375,-11.421875,-26.765625,-28.015625,-11.3359375,-12.3828125,0.0,1.25,-0.3125,1.046875
-39.0,-40.96875,-11.4375,-9.8515625,-28.9375,-30.03125,-7.95703125,-9.2578125,1.96875,1.09375,-1.5859375,1.30078125
