s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-60.5,-63.15625,-8.4609375,-9.4140625,-63.375,-64.25,-4.97265625,-5.40625,2.65625,0.875,0.953125,0.43359375
-67.125,-70.25,-8.2890625,-8.234375,-69.9375,-73.5625,-6.7265625,-6.390625,3.125,3.625,-0.0546875,-0.3359375
-61.9375,-63.875,-5.05078125,-5.53125,-67.5,-70.6875,-3.830078125,-4.390625,1.9375,3.1875,0.48046875,0.560546875
-58.0,-58.84375,-7.00390625,-7.3359375,-59.34375,-64.125,-3.55078125,-4.25390625,0.84375,4.78125,0.33203125,0.703125
-59.6875,-62.125,-7.58203125,-9.0078125,-57.75,-64.125,-3.427734375,-3.84765625,2.4375,6.375,1.42578125,0.419921875
-56.5,-56.0,-12.765625,-12.9609375,-57.875,-61.0,-3.85546875,-4.0546875,-0.5,3.125,0.1953125,0.19921875
-63.09375,-62.40625,-10.53125,-10.1640625,-60.1875,-66.9375,-4.01171875,-5.03515625,-0.6875,6.75,-0.3671875,1.0234375
-73.0,-72.75,-12.1328125,-11.78125,-71.25,-76.9375,-4.6484375,-5.8828125,-0.25,5.6875,-0.3515625,1.234375
-62.78125,-64.5625,-8.859375,-10.015625,-62.3125,-63.9375,-7.6796875,-7.6015625,1.78125,1.625,1.15625,-0.078125
-60.75,-61.84375,-6.4921875,-6.890625,-63.4375,-63.5625,-4.0234375,-4.953125,1.09375,0.125,0.3984375,0.9296875
-55.65625,-56.46875,-6.91796875,-6.31640625,-59.6875,-62.84375,-5.50390625,-5.76171875,0.8125,3.15625,-0.6015625,0.2578125
-67.0625,-65.125,-7.0390625,-7.046875,-68.0,-73.0625,-5.2421875,-5.92578125,-1.9375,5.0625,0.0078125,0.68359375
-62.4375,-66.5,-7.45703125,-7.9921875,-69.0,-64.8125,-4.3828125,-3.955078125,4.0625,-4.1875,0.53515625,-0.427734375
-63.84375,-63.625,-7.67578125,-7.3984375,-66.6875,-68.9375,-5.45703125,-6.23828125,-0.21875,2.25,-0.27734375,0.78125
-53.9375,-55.90625,-10.421875,-10.640625,-58.34375,-60.28125,-4.97265625,-5.0234375,1.96875,1.9375,0.21875,0.05078125
-55.15625,-59.4375,-5.1484375,-5.82421875,-58.875,-59.625,-4.02734375,-3.970703125,4.28125,0.75,0.67578125,-0.056640625
-57.34375,-58.8125,-11.375,-11.2578125,-59.40625,-62.125,-4.79296875,-5.39453125,1.46875,2.71875,-0.1171875,0.6015625
-62.40625,-62.9375,-15.7109375,-16.625,-65.8125,-66.75,-5.59765625,-5.96484375,0.53125,0.9375,0.9140625,0.3671875
-56.53125,-58.3125,-6.8671875,-7.3515625,-60.375,-63.875,-5.34375,-5.8125,1.78125,3.5,0.484375,0.46875
-60.0,-62.59375,-7.54296875,-8.3046875,-70.8125,-70.0,-4.16015625,-4.2421875,2.59375,-0.8125,0.76171875,0.08203125
-59.9375,-58.34375,-7.0,-6.7265625,-62.78125,-66.625,-5.734375,-6.55859375,-1.59375,3.84375,-0.2734375,0.82421875
-71.875,-72.1875,-12.4375,-13.0625,-63.9375,-69.1875,-6.1015625,-7.1015625,0.3125,5.25,0.625,1.0
-68.5,-74.0625,-7.61328125,-7.81640625,-68.1875,-68.625,-6.9609375,-7.83984375,5.5625,0.4375,0.203125,0.87890625
-60.0625,-60.03125,-10.0546875,-10.40625,-61.5,-63.78125,-3.814453125,-4.390625,-0.03125,2.28125,0.3515625,0.576171875
-74.8125,-75.8125,-8.671875,-9.5625,-71.5625,-76.0625,-4.84375,-5.4453125,1.0,4.5,0.890625,0.6015625
-63.9375,-64.5625,-6.85546875,-6.29296875,-71.3125,-77.1875,-3.529296875,-4.7578125,0.625,5.875,-0.5625,1.228515625
-65.1875,-67.0625,-7.73828125,-8.171875,-70.3125,-72.875,-7.3359375,-7.28125,1.875,2.5625,0.43359375,-0.0546875
