s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
-1.6875,3.0,-0.16015625,0.1640625
1.125,1.5,-0.00390625,0.0078125
1.1875,0.3125,0.1640625,-0.1640625
2.0625,0.0,0.00390625,-0.00390625
-2.25,4.8125,-0.375,0.375
-1.3125,1.4375,-0.048828125,0.048828125
0.375,0.6875,0.203125,-0.203125
-1.0,3.75,-0.01953125,0.01953125
0.1875,0.5625,-0.24609375,0.24609375
0.25,0.5625,0.134765625,-0.134765625
0.1875,2.0,0.61328125,-0.61328125
-1.1875,1.1875,0.296875,-0.296875
-1.75,5.1875,-0.2265625,0.2265625
-2.75,4.25,-0.384765625,0.384765625
1.0,-0.125,0.14453125,-0.14453125
-2.4375,1.875,0.5107421875,-0.5107421875
-3.1875,1.25,0.050537109375,-0.050537109375
1.9375,-2.0,-0.1328125,0.1328125
-0.5,0.3125,0.287109375,-0.287109375
-1.125,2.375,-0.322265625,0.30859375
-0.875,2.5625,-0.296875,0.2890625
0.625,2.4375,0.4609375,-0.458984375
2.8125,1.0,0.5322265625,-0.5224609375
1.75,1.3125,0.0546875,-0.052734375
-1.8125,4.5625,0.015625,-0.01171875
1.125,-0.0625,0.8046875,-0.80859375
-3.6875,3.4375,0.21923828125,-0.21533203125
0.0,1.5,-0.4384765625,0.43359375
0.8125,1.5625,0.083984375,-0.083984375
0.0,2.875,0.8994140625,-0.8994140625
0.4375,1.4375,-0.1865234375,0.1904296875
1.25,0.1875,-0.25,0.25390625
2.5625,-0.75,-0.044921875,0.041015625
-1.4375,2.25,0.14453125,-0.140625
0.4375,0.5625,0.0234375,-0.0234375
-0.8125,2.25,-0.02734375,0.02734375
-3.9375,4.3125,0.572265625,-0.580078125
2.375,-1.1875,0.662109375,-0.66796875
-0.875,2.5625,0.15625,-0.162109375
2.25,0.1875,-0.53125,0.5390625
-3.8125,4.3125,-0.4267578125,0.4453125
-1.5625,2.6875,0.1953125,-0.19140625
0.75,0.75,-0.0789794921875,0.07763671875
1.1875,1.0625,0.6875,-0.6875
-1.875,5.125,0.07421875,-0.078125
0.4375,1.25,-0.0390625,0.03515625
-3.3125,3.4375,-1.1953125,1.203125
1.625,0.875,0.04296875,-0.05078125
