s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-65.5625,-69.125,-8.265625,-8.8203125,-47.53125,-48.9375,-7.125,-7.15234375,3.5625,1.40625,0.5546875,0.02734375
-64.625,-67.375,-6.9140625,-7.48046875,-44.59375,-43.15625,-7.78515625,-7.34765625,2.75,-1.4375,0.56640625,-0.4375
-71.0,-69.0625,-15.03125,-15.0546875,-44.125,-45.75,-13.3125,-11.765625,-1.9375,1.625,0.0234375,-1.546875
-59.34375,-60.65625,-9.34375,-9.375,-45.5625,-44.75,-7.35546875,-7.77734375,1.3125,-0.8125,0.03125,0.421875
-60.40625,-62.96875,-5.94921875,-6.47265625,-46.59375,-45.875,-7.63671875,-7.0390625,2.5625,-0.71875,0.5234375,-0.59765625
-66.3125,-68.875,-7.625,-7.5390625,-43.9375,-43.46875,-7.28125,-7.453125,2.5625,-0.46875,-0.0859375,0.171875
-68.375,-71.125,-6.64453125,-7.1875,-48.65625,-49.65625,-9.71875,-10.546875,2.75,1.0,0.54296875,0.828125
-60.53125,-61.53125,-6.3984375,-6.390625,-49.28125,-50.46875,-5.83203125,-6.47265625,1.0,1.1875,-0.0078125,0.640625
-65.0,-62.28125,-8.2734375,-8.578125,-46.5625,-48.78125,-6.71875,-6.8203125,-2.71875,2.21875,0.3046875,0.1015625
-70.0625,-69.25,-8.15625,-8.09375,-41.40625,-42.0,-6.47265625,-6.46484375,-0.8125,0.59375,-0.0625,-0.0078125
-67.25,-68.3125,-7.12109375,-6.94921875,-50.96875,-51.4375,-7.68359375,-7.1796875,1.0625,0.46875,-0.171875,-0.50390625
-66.3125,-67.5,-7.78125,-7.6015625,-52.96875,-54.6875,-7.9140625,-8.1328125,1.1875,1.71875,-0.1796875,0.21875
-59.5625,-62.21875,-12.0703125,-11.6796875,-45.28125,-44.53125,-12.2578125,-12.3828125,2.65625,-0.75,-0.390625,0.125
-65.5625,-64.4375,-7.81640625,-7.6484375,-44.78125,-47.28125,-8.34375,-8.296875,-1.125,2.5,-0.16796875,-0.046875
-58.34375,-58.21875,-7.41015625,-6.43359375,-40.09375,-42.375,-8.921875,-9.6796875,-0.125,2.28125,-0.9765625,0.7578125
-56.96875,-58.125,-8.5234375,-8.1953125,-40.90625,-42.21875,-12.0859375,-10.5234375,1.15625,1.3125,-0.328125,-1.5625
-61.53125,-67.0625,-7.39453125,-6.46484375,-42.78125,-44.03125,-4.18359375,-6.83984375,5.53125,1.25,-0.9296875,2.65625
-70.125,-72.1875,-14.5,-14.625,-51.40625,-50.59375,-13.2578125,-13.296875,2.0625,-0.8125,0.125,0.0390625
-53.75,-55.84375,-13.1015625,-13.546875,-39.875,-41.09375,-14.28125,-13.8046875,2.09375,1.21875,0.4453125,-0.4765625
-66.375,-68.5,-6.26953125,-6.84765625,-47.5625,-46.3125,-6.9453125,-6.47265625,2.125,-1.25,0.578125,-0.47265625
-58.46875,-59.03125,-6.48046875,-6.515625,-37.90625,-38.25,-6.546875,-6.0859375,0.5625,0.34375,0.03515625,-0.4609375
-59.6875,-62.9375,-9.171875,-9.9609375,-46.3125,-45.75,-13.7265625,-12.828125,3.25,-0.5625,0.7890625,-0.8984375
-63.25,-64.75,-12.1953125,-12.046875,-41.59375,-41.4375,-13.578125,-13.96875,1.5,-0.15625,-0.1484375,0.390625
-55.90625,-55.125,-8.5625,-7.54296875,-39.78125,-42.78125,-8.71875,-9.703125,-0.78125,3.0,-1.01953125,0.984375
-56.125,-56.59375,-8.5703125,-9.109375,-39.34375,-39.625,-10.1796875,-9.453125,0.46875,0.28125,0.5390625,-0.7265625
-66.4375,-66.375,-15.1640625,-14.4921875,-41.03125,-41.34375,-16.28125,-16.546875,-0.0625,0.3125,-0.671875,0.265625
-54.125,-55.28125,-11.2578125,-11.640625,-46.8125,-46.46875,-11.3828125,-10.921875,1.15625,-0.34375,0.3828125,-0.4609375
-63.3125,-61.28125,-6.4375,-6.36328125,-41.53125,-45.3125,-6.83203125,-7.12890625,-2.03125,3.78125,-0.07421875,0.296875
-65.625,-64.9375,-8.4296875,-7.9140625,-43.9375,-45.34375,-9.5859375,-9.5859375,-0.6875,1.40625,-0.515625,0.0
-58.25,-68.625,-8.1328125,-8.03125,-51.15625,-44.40625,-4.203125,-5.6015625,10.375,-6.75,-0.1015625,1.3984375
-57.5625,-59.375,-9.6796875,-9.5234375,-37.84375,-38.03125,-9.6015625,-9.0625,1.8125,0.1875,-0.15625,-0.5390625
