s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-67.5625,-69.5,-5.9453125,-5.90625,-71.8125,-71.4375,-4.40234375,-4.36328125,1.9375,-0.375
-67.1875,-69.625,-5.90625,-6.1171875,-71.75,-72.0625,-4.8125,-5.0625,2.4375,0.3125
-68.375,-71.4375,-4.078125,-4.4921875,-74.125,-76.375,-7.640625,-7.3125,3.0625,2.25
-65.25,-65.5,-5.2109375,-5.078125,-66.5,-67.5,-4.609375,-4.59765625,0.25,1.0
-67.3125,-69.0625,-6.8359375,-6.875,-68.9375,-69.5,-5.44140625,-5.6796875,1.75,0.5625
-68.8125,-68.25,-6.75390625,-6.71875,-72.125,-75.25,-4.83203125,-5.203125,-0.5625,3.125
-62.40625,-64.75,-8.5859375,-9.515625,-64.125,-65.625,-3.482421875,-3.775390625,2.34375,1.5
-63.8125,-65.875,-6.25390625,-6.171875,-66.625,-67.5625,-4.98046875,-5.36328125,2.0625,0.9375
-59.46875,-62.28125,-8.84375,-8.8359375,-66.0,-65.4375,-3.044921875,-3.69140625,2.8125,-0.5625
-69.5625,-69.6875,-5.3046875,-5.31640625,-70.625,-72.5,-4.0,-4.2578125,0.125,1.875
-66.875,-66.8125,-6.25390625,-6.2734375,-69.3125,-71.8125,-5.90625,-6.14453125,-0.0625,2.5
-59.71875,-61.5,-5.46875,-5.640625,-65.5625,-65.1875,-3.20703125,-3.50390625,1.78125,-0.375
-65.875,-68.0625,-9.2109375,-9.484375,-71.4375,-72.0,-4.44921875,-4.55859375,2.1875,0.5625
-62.0,-63.53125,-5.16015625,-5.5390625,-66.5625,-66.6875,-4.125,-4.37890625,1.53125,0.125
-69.375,-67.6875,-9.296875,-9.0546875,-71.5625,-75.3125,-5.7578125,-5.69140625,-1.6875,3.75
-84.125,-87.5,-6.16796875,-6.60546875,-89.25,-89.0625,-3.583984375,-3.931640625,3.375,-0.1875
